更新日期,#genre#
🍎┃广东频道,#genre#
广州综合,https://tv.iill.top/gztv/zhonghe$IPV4•线路4
广东珠江,https://smart.pendy.dpdns.org/Smart.php$IPV4•线路5
广州影视频道,https://tv.iill.top/gztv/yingshi$IPV4•线路4
广州竞赛频道,http://php.jdshipin.com:8880/gztv.php#https://tencentplay.gztv.com/live/jingsai.m3u8?txSecret=49c8041461997c7a97dbcc3c7fd11b4f&txTime=18d00acf487$IPV4•线路1
大湾区卫视,https://www.freetv.top/migu/608917627.m3u8$IPV4•线路4
🥝┃央视频道,#genre#
CCTV1,https://www.freetv.top/migu/608807420.m3u8$IPV4•线路1
CCTV2,http://120.76.248.139/live/bfgd/4200000061.m3u8$IPV4•线路12
CCTV3,https://www.freetv.top/migu/624878271.m3u8$IPV4•线路3
CCTV3,http://120.76.248.139/live/bfgd/4200000062.m3u8$IPV4•线路12
CCTV4,https://www.freetv.top/migu/631780421.m3u8$IPV4•线路2
CCTV4,http://120.76.248.139/live/bfgd/4200000063.m3u8$IPV4•线路11
CCTV5,http://www.freetv.top/migu/641886683.m3u8$IPV4•线路4
CCTV5,http://120.76.248.139/live/bfgd/4200000064.m3u8$IPV4•线路13
CCTV5+,https://www.freetv.top/migu/641886773.m3u8$IPV4•线路1
CCTV5+,http://120.76.248.139/live/bfgd/4200000246.m3u8$IPV4•线路12
CCTV6,http://120.76.248.139/live/bfgd/4200000065.m3u8$IPV4•线路12
CCTV7,https://www.freetv.top/migu/673168121.m3u8$IPV4•线路4
CCTV7,http://www.freetv.top/migu/673168121.m3u8$IPV4•线路5
CCTV7,http://120.76.248.139/live/bfgd/4200000127.m3u8$IPV4•线路14
CCTV8,https://www.freetv.top/migu/624878356.m3u8$IPV4•线路3
CCTV8,http://120.76.248.139/live/bfgd/4200000066.m3u8$IPV4•线路12
CCTV9,https://www.freetv.top/migu/673168140.m3u8$IPV4•线路2
CCTV9,http://www.freetv.top/migu/673168140.m3u8$IPV4•线路3
CCTV9,http://120.76.248.139/live/bfgd/4200000128.m3u8$IPV4•线路11
CCTV10,https://www.freetv.top/migu/624878405.m3u8$IPV4•线路3
CCTV10,http://www.freetv.top/migu/624878405.m3u8$IPV4•线路4
CCTV10,http://120.76.248.139/live/bfgd/4200000129.m3u8$IPV4•线路11
CCTV11,http://120.76.248.139/live/bfgd/4200000130.m3u8$IPV4•线路11
CCTV12,https://www.freetv.top/migu/673168185.m3u8$IPV4•线路2
CCTV12,http://www.freetv.top/migu/673168185.m3u8$IPV4•线路3
CCTV12,http://120.76.248.139/live/bfgd/4200000131.m3u8$IPV4•线路9
CCTV13,http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8$IPV4•线路3
CCTV13,https://www.freetv.top/migu/608807423.m3u8$IPV4•线路7
CCTV14,https://event.pull.hebtv.com/jishi/cp2.m3u8#rtsp://103.251.96.71/PLTV/88888888/224/3221225783/10000100000000060000000000726027_0.smil?icpid=SSPID&amp;accounttype=1&amp;limitflux=-1&amp;limitdur=-1&amp;accountinfo=:20240213104135$IPV4•线路1
CCTV14,https://www.freetv.top/migu/624878440.m3u8$IPV4•线路3
CCTV14,http://www.freetv.top/migu/624878440.m3u8$IPV4•线路4
CCTV14,http://120.76.248.139/live/bfgd/4200000132.m3u8$IPV4•线路12
CCTV15,https://www.freetv.top/migu/673168223.m3u8$IPV4•线路2
CCTV15,http://120.76.248.139/live/bfgd/4200000133.m3u8$IPV4•线路14
CCTV17,https://www.freetv.top/migu/673168256.m3u8$IPV4•线路1
CCTV17,http://120.76.248.139/live/bfgd/4200000204.m3u8$IPV4•线路12
CCTV4K,http://www.tszhgjj.cn:7000/rtp/239.253.93.134:6631$IPV4
CETV1,https://migu.188766.xyz/$IPV4•线路2
🥭┃卫视频道,#genre#
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8$IPV4•线路3
浙江卫视,http://l.cztvcloud.com/channels/lantian/SXpinghu3/720p.m3u8$IPV4•线路5
浙江卫视,http://ali-vl.cztv.com/channels/lantian/channel001/360p.m3u8$IPV4•线路8
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8$IPV4•线路13
浙江卫视,http://ali-m-l.cztv.com:80/channels/lantian/channel001/1080p.m3u8$IPV4•线路15
湖南卫视,http://antvlive.ab5c6921.cdnviet.com/antv/playlist.m3u8$IPV4•线路11
东方卫视,http://z.b.bkpcp.top/m.php#rtsp://115.85.232.19/PLTV/88888910/224/3221225531/10000100000000060000000000107311_0.smil$IPV4•线路1
东方卫视,https://www.freetv.top/migu/651632648.m3u8$IPV4•线路4
东方卫视,http://120.76.248.139/live/bfgd/4200000093.m3u8$IPV4•线路14
江苏卫视,http://120.76.248.139/live/bfgd/4200000085.m3u8$IPV4•线路12
山东卫视,http://j.x.bkpcp.top/jx/SHANDHD$IPV4•线路1
山东卫视,http://l.cztvcloud.com/channels/lantian/SXshengzhou1/720p.m3u8$IPV4•线路2
山东卫视,http://120.76.248.139/live/bfgd/4200000099.m3u8$IPV4•线路11
北京卫视,http://j.x.bkpcp.top/jx/BEIJHD$IPV4•线路1
北京卫视,http://120.76.248.139/live/bfgd/4200000083.m3u8$IPV4•线路11
安徽卫视,http://j.x.bkpcp.top/jx/ANHUIHD$IPV4•线路1
安徽卫视,http://120.76.248.139/live/bfgd/4200000096.m3u8$IPV4•线路11
重庆卫视,http://120.76.248.139/live/bfgd/4200000107.m3u8$IPV4•线路8
四川卫视,http://120.76.248.139/live/bfgd/4200000103.m3u8$IPV4•线路10
东南卫视,http://j.x.bkpcp.top/jx/DONGNHD$IPV4•线路1
东南卫视,http://120.76.248.139/live/bfgd/4200000483.m3u8$IPV4•线路10
深圳卫视,http://120.76.248.139/live/bfgd/4200000100.m3u8$IPV4•线路10
广东卫视,http://120.76.248.139/live/bfgd/4200000092.m3u8$IPV4•线路15
厦门卫视,http://e2.woc.iiiya.cn:28888/rtp/239.61.2.11:8060$IPV4•线路6
贵州卫视,http://120.76.248.139/live/bfgd/4200000101.m3u8$IPV4•线路11
