更新日期,#genre#
🍎┃广东频道,#genre#
经济科教,http://119.32.12.17:2901/udp/224.1.100.6:11111$IPV4
大湾区卫视,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226218/index.m3u8$IPV4•线路7
🥝┃央视频道,#genre#
CCTV5,http://nas.suntao.online:35455/itv/1000000005000265005.m3u8$IPV4•线路6
CCTV5,http://go.bkpcp.top/mg/cctv5$IPV4•线路7
CCTV5+,https://stream1.freetv.fun/88ee08d5c5e75e963f46cba8142888798dde687981709eda707a0b192da8ad4d.ctv$IPV4•线路6
CCTV5+,http://39.134.65.71/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8$IPV4•线路8
CCTV7,http://iptv.cdn.ha.chinamobile.com/PLTV/88888888/224/3221227180/index.m3u8$IPV4•线路3
CCTV8,https://cc06.tv12.xyz/9.m3u8$IPV4•线路7
CCTV8,http://iptv77.iptv66.eu.org:35455/gaoma/cctv8.m3u8$IPV4•线路9
CCTV9,http://iptv.huuc.edu.cn/hls/cctv9hd.m3u8$IPV4•线路1
CCTV9,http://nas.suntao.online:35455/itv/1000000005000265009.m3u8$IPV4•线路5
CCTV10,http://58.57.40.22:9901/tsfile/live/1010_1.m3u8$IPV4•线路9
CCTV12,http://iptv.huuc.edu.cn/hls/cctv12hd.m3u8$IPV4•线路1
CCTV13,https://www.freetv.top/migu/608807423.m3u8$IPV4•线路7
CCTV15,https://www.freetv.top/migu/673168223.m3u8$IPV4•线路2
CCTV15,http://yc.myds.me:35455/gaoma/cctv15.m3u8$IPV4•线路4
CCTV15,http://120.76.248.139/live/bfgd/4200000133.m3u8$IPV4•线路14
CCTV16,http://go.bkpcp.top/mg/cctv16$IPV4•线路6
CCTV16,http://39.135.133.139/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8$IPV4•线路7
CCTV16,http://183.11.239.36:808/hls/169/index.m3u8$IPV4•线路9
CCTV16,https://zby.130519.xyz/PLTV/11/224/3221226120/index.m3u8$IPV4•线路12
CCTV17,http://go.bkpcp.top/mg/cctv17$IPV4•线路6
CETV1,https://cc06.tv12.xyz/23.m3u8$IPV4•线路4
CETV1,http://sxydajtvlive.sx.chinamobile.com/PLTV/-/224/3221225792/1.m3u8$IPV4•线路5
CETV2,http://gslbmgsplive.miguvideo.com/migu/kailu/cetv2/50/20240709/index.m3u8$IPV4•线路6
CETV4,http://rrs01.hw.gmcc.net:8088/PLTV/81/224/3221226724/1.m3u8$IPV4•线路1
🥭┃卫视频道,#genre#
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8$IPV4•线路3
浙江卫视,http://go.bkpcp.top/mg/zjws$IPV4•线路9
湖南卫视,http://39.134.65.173/PLTV/88888888/224/3221225977/1.m3u8$IPV4•线路6
湖南卫视,https://cc06.tv12.xyz/57.m3u8$IPV4•线路7
山东卫视,http://j.x.bkpcp.top/jx/SHANDHD$IPV4•线路1
山东卫视,http://39.164.160.249:9901/tsfile/live/0131_1.m3u8$IPV4•线路9
山东卫视,http://61.156.228.12:8154/tsfile/live/0131_1.m3u8$IPV4•线路13
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8$IPV4•线路9
北京卫视,http://120.76.248.139/live/bfgd/4200000083.m3u8$IPV4•线路11
甘肃卫视,http://dsj.motem.top:8880/bptv/10000100000000050000000003887450.m3u8$IPV4•线路3
河南卫视,http://goo.bkpcp.top/mg/hnws$IPV4•线路3
河南卫视,http://1.94.31.214/php/hntv.php$IPV4•线路7
河南卫视,http://112.6.239.227:8207/hls/31/index.m3u8$IPV4•线路16
安多卫视,http://39.134.65.166/PLTV/88888888/224/3221225531/1.m3u8$IPV4•线路4
🍓┃湾区频道,#genre#
HOYTV,https://ali.hlspull.yximgs.com/live/xaigjiaogehoy7801.flv$IPV4•线路1
HOYTV,http://cdn.163189.xyz/live/hoy/stream.m3u8$IPV4•线路2
🍉┃咪咕频道,#genre#
CCTV-03咪咕,http://j.s.bkpcp.top/jj/cctv3$IPV4
🐟┃少儿频道,#genre#
黑莓动画,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226935/1.m3u8$IPV4•线路1
卡酷少儿,http://218.13.170.98:9901/tsfile/live/1021_1.m3u8$IPV4•线路4
哈哈炫动,https://zby.130519.xyz/PLTV/11/224/3221226161/index.m3u8$IPV4•线路4
🐶┃影视频道,#genre#
CHC动作电影,http://124.93.18.238:9002//hls/76/index.m3u8$IPV4•线路6
黑莓电影,https://fenghuang.tv12.xyz/29.m3u8$IPV4•线路2

